"date","samp_session","id","series_temp","treatment","age","temp","z_age","z_lnmass","lnmr","temp_I2"
"2018-04-07",1,"ld0519","ld0519_1_24",23,72,24,-1.63056988796413,0.0937167189061337,-6.90136315196159,576
"2018-04-07",1,"ld0519","ld0519_1_24",23,72,24,-1.63056988796413,0.0937167189061337,-6.53150389930764,576
"2018-04-07",1,"ld0519","ld0519_1_34",23,72,34,-1.63056988796413,0.0937167189061337,-6.04207897820481,1156
"2018-04-07",1,"ld0519","ld0519_1_34",23,72,34,-1.63056988796413,0.0937167189061337,-5.77058223017405,1156
"2018-04-07",1,"ld0539","ld0539_1_30",23,61,30,-1.91805616409181,-0.734888734872359,-5.61847637463324,900
"2018-04-07",1,"ld0539","ld0539_1_30",23,61,30,-1.91805616409181,-0.734888734872359,-5.69494673862508,900
"2018-04-07",1,"ld0539","ld0539_1_26",23,61,26,-1.91805616409181,-0.734888734872359,-6.3260999849247,676
"2018-04-07",1,"ld0539","ld0539_1_26",23,61,26,-1.91805616409181,-0.734888734872359,-6.37043348594026,676
"2018-04-07",1,"ld0543","ld0543_1_30",23,56,30,-2.04873174414984,-1.07996104633042,-5.44262265748353,900
"2018-04-07",1,"ld0543","ld0543_1_26",23,56,26,-2.04873174414984,-1.07996104633042,-6.10292934762116,676
"2018-04-07",1,"ld0543","ld0543_1_26",23,56,26,-2.04873174414984,-1.07996104633042,-5.74507536273023,676
"2018-04-07",1,"ld0544","ld0544_1_34",23,53,34,-2.12713709218466,-1.26220749221341,-6.02215075224472,1156
"2018-04-07",1,"ld0544","ld0544_1_34",23,53,34,-2.12713709218466,-1.26220749221341,-5.57871198670814,1156
"2018-04-07",1,"ld0546","ld0546_1_24",29,47,24,-2.2839477882543,-0.664047009724141,-6.31341787985085,576
"2018-04-07",1,"ld0546","ld0546_1_24",29,47,24,-2.2839477882543,-0.664047009724141,-6.17731689266469,576
"2018-04-07",1,"ld0546","ld0546_1_34",29,47,34,-2.2839477882543,-0.664047009724141,-5.76103079310155,1156
"2018-04-07",1,"ld0546","ld0546_1_34",29,47,34,-2.2839477882543,-0.664047009724141,-5.81806692017889,1156
"2018-04-07",1,"ld0550","ld0550_1_30",29,36,30,-2.57143406438197,-1.34246902396503,-6.17499143498917,900
"2018-04-07",1,"ld0550","ld0550_1_30",29,36,30,-2.57143406438197,-1.34246902396503,-6.59122090968449,900
"2018-04-07",1,"ld0550","ld0550_1_26",29,36,26,-2.57143406438197,-1.34246902396503,-6.51636874362358,676
